Seed,Model_type,Model,Domain,PCA,RMSE,MAE
3,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 100, 'random_state': 3, 'verbose': 0}",False,True,82558.05174196522,20847.564780068147
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64, 32), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",False,True,83030.59116893185,24055.25561414329
3,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",False,True,80237.74324505919,19981.22631948566
3,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 3, 'verbose': 0}",False,False,81078.13402210102,20914.48892857143
3,XGB,"{'learning_rate': 0.13, 'loss': 'squared_error', 'max_depth': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 3, 'verbose': 0}",False,False,82344.30850127674,20367.72441168883
3,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",False,False,81282.35313148427,21507.74721140001
3,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",False,False,80278.28465617269,24758.84540963924
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 3, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 4, 'verbose': 0}",True,True,17157.09812861221,9592.319285714286
4,XGB,"{'learning_rate': 0.13, 'loss': 'absolute_error', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 80, 'random_state': 4, 'verbose': 0}",True,True,15483.36266173118,8068.64972613843
4,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",True,True,28310.24459908476,14722.45393535161
4,LR,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1}",True,True,31522.500449250332,20873.46140610909
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 4, 'verbose': 0}",True,False,15856.170551646448,8313.673571428571
4,XGB,"{'learning_rate': 0.12, 'loss': 'absolute_error', 'max_depth': 6, 'min_samples_split': 2, 'n_estimators': 80, 'random_state': 4, 'verbose': 0}",True,False,21367.84083191733,11908.06890282
4,MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 8), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",True,False,16031.023873491595,11262.47775821156
4,LR,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1}",True,False,74469.13612449984,41573.374042983734
4,RF,"{'bootstrap': False, 'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 5, 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 15, 'random_state': 4, 'verbose': 0}",False,True,80709.60964854999,20234.33952380952
